Datetime,PM2.5_Mean,Visibility,RH,Temperature,WindSpeed,BLH
2024-01-12 02:00:00,174.28206896551723,0.0,100.0,6.0,2.056384,65.54367
2024-01-12 03:00:00,162.04551724137934,0.0,93.35,7.0,1.542288,90.756546
2024-01-12 04:00:00,157.3551724137931,96.56064,100.0,7.0,1.542288,162.6644
2024-01-12 05:00:00,147.10172413793103,498.89664,93.4,8.0,1.542288,267.43674
2024-01-12 06:00:00,136.113,901.23264,81.61,10.0,2.57048,384.59882
2024-01-12 07:00:00,120.401,1303.5686400000002,66.91,13.0,2.57048,501.6432
2024-01-12 08:00:00,127.21433333333331,1496.68992,58.77,15.0,2.056384,600.5416
2024-01-12 09:00:00,137.61333333333334,1705.9046400000002,59.01,16.0,2.57048,653.83026
2024-01-12 10:00:00,147.98300000000003,1705.9046400000002,51.72,17.0,2.57048,624.5063
2024-01-12 11:00:00,176.85,1705.9046400000002,51.72,17.0,2.056384,526.72504
2024-01-12 12:00:00,206.1913333333333,1705.9046400000002,58.77,15.0,1.542288,126.21555
2024-01-12 13:00:00,195.345,1705.9046400000002,76.5,12.0,1.542288,75.03511
2024-01-12 14:00:00,174.91103448275862,1496.68992,81.74,11.0,0.0,66.922195
2024-01-12 15:00:00,155.3048275862069,1496.68992,81.74,11.0,1.542288,56.843506
2024-01-12 16:00:00,145.50344827586207,1303.5686400000002,81.74,11.0,1.542288,48.898663
2024-01-12 17:00:00,141.65214285714285,997.79328,87.37,10.0,2.57048,38.5185
2024-01-12 18:00:00,162.69107142857143,997.79328,87.37,10.0,1.542288,25.20089
2024-01-12 19:00:00,227.2383333333333,901.23264,93.45,9.0,0.0,17.356417
2024-01-12 20:00:00,279.0179310344828,804.672,93.4,8.0,0.0,17.28101
2024-01-12 21:00:00,302.2076666666666,804.672,93.4,8.0,0.0,21.161654
2024-01-12 22:00:00,306.5524137931035,595.45728,93.4,8.0,0.0,23.794218
2024-01-12 23:00:00,313.40833333333336,595.45728,93.4,8.0,0.0,20.318146
2024-01-13 00:00:00,293.595,498.89664,93.35,7.0,1.542288,20.747368
2024-01-13 01:00:00,286.2983333333333,498.89664,93.35,7.0,1.542288,26.752216
2024-01-13 02:00:00,270.48266666666666,402.336,93.35,7.0,0.0,37.685524
2024-01-13 03:00:00,251.42241379310343,354.05568,93.4,8.0,0.0,48.742958
2024-01-13 04:00:00,234.4206896551724,498.89664,87.37,10.0,0.0,49.424706
2024-01-13 05:00:00,224.57724137931035,595.45728,87.56,12.0,0.0,105.66049
2024-01-13 06:00:00,219.02366666666663,901.23264,76.82,14.0,1.542288,206.70123
2024-01-13 07:00:00,224.76766666666663,997.79328,67.33,15.0,2.056384,306.24106
2024-01-13 08:00:00,226.88333333333333,1094.35392,63.15,16.0,1.542288,392.923
2024-01-13 09:00:00,237.74733333333333,1094.35392,59.26,17.0,2.056384,452.1443
2024-01-13 10:00:00,287.078275862069,595.45728,59.26,17.0,2.056384,429.17477
2024-01-13 11:00:00,348.66241379310344,595.45728,72.2,16.0,1.542288,366.54172
2024-01-13 12:00:00,397.8125,498.89664,76.98,15.0,2.056384,80.24309
2024-01-13 13:00:00,419.7282758620689,498.89664,93.65,13.0,1.542288,46.705215
2024-01-13 14:00:00,418.2841379310345,498.89664,100.0,12.0,1.542288,36.031227
2024-01-13 15:00:00,428.9655172413793,498.89664,100.0,12.0,1.028192,27.473967
2024-01-13 16:00:00,445.2176666666666,498.89664,100.0,11.0,1.028192,21.289907
2024-01-13 17:00:00,455.07133333333337,498.89664,93.55,11.0,1.028192,17.949352
2024-01-13 18:00:00,482.4113333333334,305.77536000000003,100.0,10.0,1.028192,16.494217
2024-01-13 19:00:00,516.0060714285714,144.84096,100.0,9.0,0.0,16.4539
2024-01-13 20:00:00,510.9503846153847,144.84096,93.45,9.0,1.542288,17.904974
2024-01-13 21:00:00,501.0704,144.84096,100.0,8.0,0.0,21.327341
2024-01-13 22:00:00,510.3096,96.56064,93.4,8.0,0.0,23.198406
2024-01-13 23:00:00,521.1262499999999,48.28032,93.35,7.0,1.028192,27.028574
2024-01-14 00:00:00,566.1788,0.0,100.0,6.0,1.542288,31.624207
